Date,Bike trips,Total distance (m),Total duration (sec),Mean departure temperature (C),Mean return temperature (C),Electric bike trips
2021-05-23,1891,5677681.67,3192259.0,17.814383923849814,18.179799048122685,
2021-05-24,709,1817768.33,808025.0,14.324400564174894,15.032440056417489,
2021-05-25,2260,6322114.99,3063288.0,21.633185840707963,21.83938053097345,
2021-05-26,1750,4454536.66,1745591.0,17.109142857142857,17.848,
2021-05-27,997,2277772.33,1002615.0,14.317953861584755,15.320962888665997,
2021-05-28,2647,7304831.33,3441728.0,20.042689837551947,20.261050245561012,
2021-05-29,3120,9871811.0,5175328.0,21.732692307692307,21.482371794871796,
2021-05-30,2091,6483213.67,2758201.0,20.97321855571497,21.131994261119083,
2021-05-31,2312,6627255.0,2674241.0,23.130190311418684,23.353373702422147,
2021-06-01,2971,9056103.0,4186979.0,26.813194210703468,26.73544261191518,
2021-06-02,2925,8237084.0,3668892.0,29.144273504273503,29.057094017094016,
2021-06-03,2825,7860009.33,3026474.0,25.74407079646018,25.726725663716813,
2021-06-04,2069,5127462.0,5230489.0,18.933301111648138,19.50072498791687,
2021-06-05,2439,6933232.0,3100655.0,19.58261582615826,19.715047150471506,
2021-06-06,828,2100173.67,1058717.0,13.033816425120772,13.783816425120772,
2021-06-07,2101,5647969.33,2101628.0,17.69633507853403,18.0851975249881,
2021-06-08,2707,7840260.0,3057652.0,20.565570742519395,20.75803472478759,
2021-06-09,2230,6071259.67,2521789.0,20.22690582959641,20.506726457399104,
2021-06-10,2223,5861962.0,2736745.0,18.518218623481783,19.01034637876743,
2021-06-11,1388,3513460.99,1491813.0,16.980547550432277,17.832132564841498,
2021-06-12,2847,8583175.0,4427350.0,23.27186512118019,23.205479452054796,
2021-06-13,962,2681809.34,1152062.0,18.766112266112266,19.45945945945946,
2021-06-14,2142,5876326.67,2501001.0,20.943510737628383,21.50513538748833,
2021-06-15,2229,6025062.67,2924259.0,21.08613728129206,21.442350829968596,
2021-06-16,2856,7722735.0,3204253.0,22.647759103641455,22.89075630252101,
2021-06-17,2897,8345446.33,3916125.0,25.318260269244046,25.352433551950295,
2021-06-18,3063,8827094.0,4050547.0,24.09892262487757,24.153770812928503,
2021-06-19,2901,9117833.0,4240879.0,23.729748362633575,23.596001378834885,
2021-06-20,3251,10731380.66,4897292.0,26.561673331282684,26.491233466625655,
2021-06-21,3081,8749537.67,4332573.0,28.055501460564752,28.149626744563452,
2021-06-22,3154,8934273.67,5799286.0,27.30881420418516,27.329105897273305,
2021-06-23,3157,9197862.0,3868173.0,25.06050047513462,25.22426354133671,
2021-06-24,3105,9111634.66,3721815.0,26.51046698872786,26.73913043478261,
2021-06-25,3161,9149908.34,4350670.0,29.069281872825055,29.207845618475165,
2021-06-26,3058,9742950.33,4840904.0,32.68639633747547,32.45160235448005,
2021-06-27,2626,7741593.0,3926664.0,33.61462300076161,33.143183549124146,
2021-06-28,2475,6747947.0,3110166.0,34.60444444444445,34.48565656565656,
2021-06-29,2937,8967877.0,3693915.0,32.72795369424583,32.5097037793667,
2021-06-30,3379,10145522.0,4588805.0,27.043799940810892,27.2030186445694,
2021-07-01,4061,12782536.33,5879675.0,24.66978576705245,24.68480669785767,
2021-07-02,3896,12056614.67,8226851.0,26.29517453798768,26.126283367556468,
2021-07-03,4081,13494479.0,7269663.0,26.710855182553296,26.31438372947807,
2021-07-04,3869,12498732.0,6264753.0,27.70302403721892,27.32954251744637,
2021-07-05,3371,10033119.99,5075271.0,27.243251260753485,27.251854049243548,
2021-07-06,3679,10819228.34,4786226.0,27.2226148409894,27.1353628703452,
2021-07-07,3245,9100151.0,3813801.0,22.668412942989214,23.00677966101695,
2021-07-08,3256,9007431.67,4652120.0,23.63667076167076,23.955773955773957,
