Date,day_length,min_temp,max_temp,mean_temp,temp_diff,hdd,cdd,rain,snow,total_precip,snow_on_ground,max_gust,mean_dep_temp,mean_ret_temp,mean_ride_temp,total_dist,total_duration,ebike_trips,num_trips,adj_num_trips,temp_residuals
2017-04-05,789.2166666666667,8.2,11.1,9.7,2.9000000000000004,8.3,0.0,13.4,0.0,13.4,0.0,10.0,11.371859296482413,12.636515912897822,12.004187604690117,1212485.0,407478.0,0.0,597,1876.3447392040239,-1027.5795600159386
2017-04-06,793.2166666666667,7.2,13.3,10.3,6.1000000000000005,7.7,0.0,5.2,0.0,5.2,0.0,12.0,12.001140250855189,13.157354618015964,12.579247434435576,2015766.0,863521.0,0.0,877,2155.428970419017,-1081.7816862870047
2017-04-07,797.2166666666667,6.0,12.6,9.3,6.6,8.7,0.0,11.4,0.0,11.4,0.0,47.0,12.204656862745098,13.395833333333334,12.800245098039216,1803935.0,786845.0,0.0,816,2093.5132016340094,-1036.444646109847
2017-04-08,800.2166666666667,5.7,8.5,7.1,2.8,10.9,0.0,9.8,0.0,9.8,0.0,8.0,9.306049822064058,10.377224199288255,9.841637010676155,541070.0,298210.0,0.0,281,1557.5974328490022,-948.6134107864971
2017-04-09,804.2166666666667,2.8,12.9,7.9,10.1,10.1,0.0,0.0,0.0,0.0,0.0,12.0,13.356083086053411,14.020771513353116,13.688427299703264,3115901.0,1288114.0,0.0,1011,2286.681664063995,-887.0176633286289
2017-04-10,807.2166666666667,6.4,10.9,8.7,4.5,9.3,0.0,5.0,0.0,5.0,0.0,19.0,10.711436170212766,11.83377659574468,11.272606382978722,1599519.0,670089.0,0.0,752,2026.7658952789877,-842.1975485367509
2017-04-11,811.2166666666667,4.3,10.7,7.5,6.4,10.5,0.0,0.0,0.0,0.0,0.0,10.0,13.891891891891891,14.464310464310463,14.178101178101176,3855255.0,1624740.0,0.0,1443,2716.8501264939805,-120.81553705756278
2017-04-12,814.2166666666667,7.5,13.0,10.3,5.5,7.7,0.0,12.0,0.0,12.0,0.0,15.0,12.380200860832138,13.519368723098996,12.949784791965566,1619610.0,598206.0,0.0,697,1969.9343577089733,-1216.208669068223
2017-04-13,818.2166666666667,6.4,12.3,9.4,5.9,8.6,0.0,17.4,0.0,17.4,0.0,10.0,11.451396648044692,12.568715083798883,12.010055865921789,1978715.0,791018.0,0.0,895,2167.018588923966,-911.8716288910655
2017-04-14,822.2166666666667,6.0,12.6,9.3,6.6,8.7,0.0,3.2,0.0,3.2,0.0,4.0,12.933980582524272,13.4126213592233,13.173300970873786,2827834.0,1473792.0,0.0,1030,2301.102820138959,-822.4446461098471
2017-04-15,825.2166666666667,6.5,12.9,9.7,6.4,8.3,0.0,2.0,0.0,2.0,0.0,4.0,13.55855855855856,13.985985985985986,13.772272272272271,3017681.0,1414715.0,0.0,999,2269.1870513539516,-899.0176633286289
2017-04-16,829.2166666666667,3.0,12.8,7.9,9.8,10.1,0.0,0.0,0.0,0.0,0.0,8.0,15.232331437855402,15.290820471161656,15.26157595450853,4283903.0,2275329.0,0.0,1231,2500.271282568944,-651.826657589035
2017-04-17,832.2166666666667,8.6,14.0,11.3,5.4,6.7,0.0,5.4,0.0,5.4,0.0,2.0,13.909240924092408,14.851485148514852,14.380363036303631,1464313.0,817078.0,0.0,606,1874.355513783937,-1459.1187264641621
2017-04-18,836.2166666666667,9.1,14.3,11.7,5.200000000000001,6.3,0.0,5.2,0.0,5.2,0.0,1.0,14.665009940357852,15.468190854870777,15.066600397614314,2328780.0,943443.0,0.0,1006,2273.4397449989297,-1104.6917436829435
