Date,day_length,min_temp,max_temp,mean_temp,temp_diff,hdd,cdd,rain,snow,total_precip,snow_on_ground,max_gust,mean_dep_temp,mean_ret_temp,mean_ride_temp,total_dist,total_duration,ebike_trips,num_trips,adj_num_trips,trend_val
2022-05-30,954.25,9.6,14.4,12.0,4.800000000000001,6.0,0.0,5.1,0.0,5.1,0.0,0.0,15.75991471215352,16.307889125799573,16.033901918976547,6128452.66,2800782.0,0.0,2345,1635.9576751767245,1.4334111667935916
2022-05-31,956.25,11.3,17.5,14.4,6.199999999999999,3.6,0.0,0.0,0.0,0.0,0.0,0.0,20.40317065589058,20.648741063102268,20.525955859496424,9325417.67,5090830.0,0.0,3217,2242.5456572341786,1.4345304362577191
2022-06-01,958.25,10.3,18.2,14.3,7.899999999999999,3.7,0.0,0.0,0.0,0.0,0.0,0.0,21.18995558592416,21.60813119234712,21.39904338913564,8483093.33,4543219.0,0.0,2927,2038.7981750243875,1.4356497057218467
2022-06-02,959.25,13.2,20.4,16.8,7.199999999999999,1.2,0.0,0.0,0.0,0.0,0.0,0.0,22.97025371828521,23.16039661708953,23.06532516768737,9404772.66,3934001.0,0.0,3429,2386.6049860633675,1.4367689751859738
2022-06-03,961.2666666666668,13.8,17.4,15.6,3.599999999999998,2.4,0.0,9.0,0.0,9.0,0.0,5.0,18.491811175337187,19.051541425818883,18.77167630057804,5577264.33,2516006.0,0.0,2076,1443.783971198108,1.4378882446501013
2022-06-04,962.2666666666668,12.4,20.6,16.5,8.200000000000001,1.5,0.0,8.0,0.0,8.0,0.0,6.0,22.26982680036463,22.236402309328472,22.25311455484655,9888816.0,5302943.0,0.0,3291,2286.9929223585414,1.439007514114229
2022-06-05,964.2666666666668,12.3,19.8,16.1,7.5,1.9,0.0,12.5,0.0,12.5,0.0,4.0,19.20340543028072,19.45098941555453,19.327197422917628,6405318.67,2925488.0,0.0,2173,1508.894928403898,1.4401267835783564
2022-06-06,965.2666666666668,9.2,17.4,13.3,8.2,4.7,0.0,0.0,0.0,0.0,0.0,5.0,20.1873417721519,20.255133614627287,20.2212376933896,10103246.67,4262254.0,0.0,3555,2466.6156014757944,1.4412460530424835
2022-06-07,966.2666666666668,8.9,18.0,13.5,9.1,4.5,0.0,0.8,0.0,0.8,0.0,0.0,20.91398446170921,21.039955604883463,20.976970033296336,10447519.99,4541703.0,0.0,3604,2498.673493991659,1.442365322506611
2022-06-08,967.2666666666668,12.7,19.8,16.3,7.100000000000001,1.7,0.0,0.2,0.0,0.2,0.0,1.0,21.010303377218086,21.434745277618774,21.22252432741843,9605339.33,4675700.0,0.0,3494,2420.531552214052,1.4434845919707386
2022-06-09,969.2666666666668,12.5,14.8,13.7,2.3000000000000007,4.3,0.0,26.3,0.0,26.3,0.0,8.0,14.980099502487562,15.90547263681592,15.442786069651742,1738699.0,663644.0,0.0,804,556.5539601987633,1.4446038614348657
2022-06-10,970.2666666666668,13.0,20.9,17.0,7.899999999999999,1.0,0.0,0.6,0.0,0.6,0.0,0.0,22.089847009735745,22.2172461752434,22.15354659248957,10269498.33,4832440.0,0.0,3595,2486.6448652339973,1.4457231308989933
